label,line,construct,treatment,id,ari_freq
6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,1,0.245315518
6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,1,0.167023331
7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,1,0.135706456
7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,1,0.213998643
7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,1,0.130486977
7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,1,0.146145415
8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,1,0.083511666
8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,1,0.046975312
8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,1,0.093950624
9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,1,0.031316875
9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,1,0.078292186
9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,1,0.067853228
9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,1,0.05741427
10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,1,0.031316875
10.5,#8-7_1uM_TA,#8-7,1uM_TA,1,0.05741427
10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,1,0.036536354
11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,1,0.020877916
11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,1,0.026097395
11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,1,0.036536354
11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,1,0.031316875
12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,1,0.020877916
12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,1,0.026097395
12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,1,0.020877916
13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,1,0.005219479
13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,1,0.036536354
13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,1,0.031316875
13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,1,0.026097395
-13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,2,0.006719527
-10.5,#8-7_1uM_TA,#8-7,1uM_TA,2,0
-10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,2,0.026878108
-9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,2,0.013439054
-9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,2,0.020158581
-9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,2,0.047036689
-9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,2,0.067195269
-8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,2,0.08735385
-8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,2,0.114231958
-8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,2,0.167988174
-7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,2,0.134390539
-7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,2,0.282220132
-7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,2,0.349415401
-7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,2,0.389732563
-6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,2,0.490525467
-6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,2,0.671952695
-6.300000191,#8-7_1uM_TA,#8-7,1uM_TA,2,0.624916006
-6.019999981,#8-7_1uM_TA,#8-7,1uM_TA,2,0.873538503
-5.739999771,#8-7_1uM_TA,#8-7,1uM_TA,2,0.819782287
-5.460000038,#8-7_1uM_TA,#8-7,1uM_TA,2,0.940733772
-5.180000305,#8-7_1uM_TA,#8-7,1uM_TA,2,1.061685257
-4.900000095,#8-7_1uM_TA,#8-7,1uM_TA,2,1.175917215
-4.619999886,#8-7_1uM_TA,#8-7,1uM_TA,2,1.290149173
-4.340000153,#8-7_1uM_TA,#8-7,1uM_TA,2,1.243112485
-4.059999943,#8-7_1uM_TA,#8-7,1uM_TA,2,1.60596694
-3.78000021,#8-7_1uM_TA,#8-7,1uM_TA,2,1.404381132
-3.5,#8-7_1uM_TA,#8-7,1uM_TA,2,1.874748018
-3.21999979,#8-7_1uM_TA,#8-7,1uM_TA,2,1.733637952
-2.940000057,#8-7_1uM_TA,#8-7,1uM_TA,2,1.753796533
-2.659999847,#8-7_1uM_TA,#8-7,1uM_TA,2,1.69332079
-2.380000114,#8-7_1uM_TA,#8-7,1uM_TA,2,1.955382341
