label,line,construct,treatment,id,ari_freq
5.460000038,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.202391904
5.739999771,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.190125728
6.019999981,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.134927936
6.300000191,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.134927936
6.579999924,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.104262496
6.859999657,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.110395584
7.140000343,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.110395584
7.420000076,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.110395584
7.699999809,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.104262496
7.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.079730144
8.260000229,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.073597056
8.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.09199632
8.819999695,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.147194112
9.100000381,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.09199632
9.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.06133088
9.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.067463968
9.940000534,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.06133088
10.21999931,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.055197792
10.5,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.06133088
10.78000069,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.03066544
11.05999947,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.067463968
11.34000015,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.042931616
11.61999989,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.03066544
11.89999962,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.03066544
12.18000031,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.024532352
12.46000004,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.055197792
12.73999977,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.018399264
13.02000046,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.024532352
13.29999924,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.018399264
13.57999992,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.012266176
13.86000061,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.012266176
-13.86000061,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-13.57999992,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-13.29999924,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-13.02000046,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-12.73999977,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-12.46000004,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-12.18000031,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-11.89999962,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.006133088
-11.61999989,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-11.34000015,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-11.05999947,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0
-10.78000069,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.018399264
-10.5,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.012266176
-10.21999931,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.024532352
-9.940000534,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.024532352
-9.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.079730144
-9.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.12266176
-9.100000381,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.098129408
-8.819999695,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.171726464
-8.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.21465808
-8.260000229,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.423183073
-7.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.441582337
-7.699999809,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.582643361
-7.420000076,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.502913217
-7.140000343,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.760502913
-6.859999657,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.846366145
-6.579999924,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.785035265
-6.300000191,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.950628642
-6.019999981,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.146887458
-5.739999771,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.220484514
