label,line,construct,treatment,id,ari_freq
5.180000305,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.183329259
5.460000038,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.183329259
5.739999771,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.122219506
6.019999981,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.131385969
6.300000191,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.128330482
6.579999924,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.125274994
6.859999657,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.113053043
7.140000343,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.140552432
7.420000076,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.109997556
7.699999809,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.097775605
7.980000019,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.09166463
8.260000229,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.073331704
8.539999962,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.079442679
8.819999695,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.05194329
9.100000381,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.061109753
9.380000114,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.064165241
9.659999847,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.033610364
9.940000534,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.05194329
10.21999931,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.042776827
10.5,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.048887802
10.78000069,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.05194329
11.05999947,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.05194329
11.34000015,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.048887802
11.61999989,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.045832315
11.89999962,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.03972134
12.18000031,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.036665852
12.46000004,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.030554877
12.73999977,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.018332926
13.02000046,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.027499389
13.29999924,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.048887802
13.57999992,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.024443901
13.86000061,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.030554877
-13.86000061,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.003932209
-13.57999992,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.007864417
-13.29999924,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.003932209
-13.02000046,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.003932209
-12.73999977,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.011796626
-12.46000004,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0
-12.18000031,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0
-11.89999962,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.007864417
-11.61999989,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.015728835
-11.34000015,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.007864417
-11.05999947,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.023593252
-10.78000069,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.055050922
-10.5,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.070779757
-10.21999931,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.102237427
-9.940000534,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.114034053
-9.659999847,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.15335614
-9.380000114,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.196610436
-9.100000381,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.326373324
-8.819999695,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.393220872
-8.539999962,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.495458299
-8.260000229,#8-7_1uM_DEX,#8-7,1uM_DEX,2,0.609492352
